,Data,Horario,Estacao,Latitude,Longitude,Banda 1,Banda 2,Banda 3,Banda 4,Banda 5,Banda 6,Banda 7,Banda 8,Banda 9,Banda 10,Banda 11,Banda 12,Banda 13,Banda 14,Banda 15,Banda 16
109,1/10/2018,1800,83270,-13.5,-52.5,10.92,3.9,2.25,0.12,1.14,0.85,287.3,240.84,252.69,264.4,284.02,261.85,285.84,286.03,284.57,272.21
110,1/10/2018,1800,83292,-13.82,-41.3,17.99,10.31,8.57,1.68,4.6,4.69,276.65,228.71,236.39,244.59,267.28,244.03,268.44,267.48,265.34,253.48
111,1/10/2018,1800,83339,-14.07,-42.48,39.42,40.06,35.84,0.31,18.03,10.73,281.25,236.02,244.73,252.58,270.3,245.87,272.19,271.79,270.58,259.32
112,1/10/2018,1800,83332,-14.1,-46.37,11.04,3.71,1.61,0.19,0.76,0.38,284.34,246.58,258.23,264.65,281.93,255.99,283.75,284.18,282.43,267.96
113,1/10/2018,1800,83309,-14.4,-56.45,11.93,4.79,3.49,0.06,2.38,5.42,293.77,250.68,262.72,271.13,284.33,263.64,285.84,285.91,284.75,273.64
114,1/10/2018,1800,83319,-14.7,-52.35,12.19,5.23,3.61,0.06,2.85,2.09,288.91,240.63,252.05,263,283.03,261.33,284.98,285.19,283.56,271.21
115,1/10/2018,1800,83338,-14.92,-42.85,16.34,7.74,6.57,0.19,4.85,3.07,285.08,238.77,247.1,254.27,276.09,249.09,278.34,278.01,276.24,262.57
116,1/10/2018,1800,83334,-14.93,-46.25,32.82,31.01,31.01,3.52,27.49,21.93,293.88,245.61,256.71,261.86,271.03,249.42,272.87,273.04,272.07,262.29
117,1/10/2018,1800,83344,-14.95,-40.88,38.92,33.2,34.6,5.68,15.55,17.36,260.56,227.95,233.42,237.56,246.25,233.01,246.87,246.11,244.97,239.82
118,1/10/2018,1800,83386,-15.45,-44.37,11.55,3.65,1.74,0.19,0.63,1.11,284.79,245.7,254.64,260.46,280.58,252.87,282.58,282.74,280.88,266.09
119,1/10/2018,1800,83379,-15.53,-47.33,11.17,3.68,1.74,0.25,0.63,0.98,286.07,240.97,253.2,262.05,282.3,257.22,284.36,284.6,282.79,268.35
120,1/10/2018,1800,83361,-15.55,-56.12,15.84,9.87,8.06,0.19,8.6,5.04,293.72,249.8,261.75,270.34,284.44,263.69,285.84,285.91,284.81,273.31
121,1/10/2018,1800,83362,-15.65,-56.1,19.9,14.06,13.01,0.38,14.92,14.28,300.96,249.84,261.79,270.14,282.72,262.46,284.61,284.6,283.26,272.43
122,1/10/2018,1800,83377,-15.78,-47.93,13.55,4.57,4.09,0.63,3.61,6.15,290.55,238.94,250.02,259.86,279.38,256.18,281.78,281.72,279.81,266.81
123,1/10/2018,1800,83364,-15.78,-56.07,11.42,4.63,2.47,0.19,1.49,7.26,295,249.8,261.79,270.19,283.76,263.03,285.28,285.25,284.04,272.81
124,1/10/2018,1800,83363,-15.82,-55.42,20.03,10.15,13.65,0.31,13.68,12.44,298.09,248.57,260.56,269.29,281.78,261.66,283.5,283.28,282.25,271.82
125,1/10/2018,1800,83358,-15.83,-54.38,23.33,16.85,18.85,0.12,18.53,7.14,295.05,243.67,254.8,265.2,282.46,261.56,284.36,284.24,282.85,271.6
126,1/10/2018,1800,83376,-15.85,-48.97,12.57,5.11,3.61,0.12,2.85,0.98,287.22,236.95,247.69,258.46,282.82,259.44,285.16,285.31,283.32,269.23
127,1/10/2018,1800,83378,-15.87,-47.93,11.68,3.8,2.12,0.19,1.14,0.85,286.07,238.77,250.02,260.16,282.4,257.93,284.54,284.71,282.79,268.63
128,1/10/2018,1800,83368,-15.9,-52.23,12.06,4.28,2.85,0.06,2.12,3.07,290.55,240.46,251.76,262.1,282.67,261.05,284.79,284.89,283.03,270.5
129,1/10/2018,1800,83384,-15.9,-46.05,11.68,3.61,2.12,0.57,1.23,3.46,289.03,245.36,256.71,262.75,280.37,254.99,282.82,282.68,280.76,266.59
130,1/10/2018,1800,83393,-16,-41.28,23.71,16.28,15.39,2.15,7.71,8.25,271.85,229.14,236.3,243.15,259.87,240.01,261.25,260.42,258.37,249.68
131,1/10/2018,1800,83441,-16.18,-42.28,35.74,32.09,34.22,0.44,29.49,22.66,292.1,234.71,243.67,252.13,267.28,244.12,269.98,270.17,269.09,258.66
132,1/10/2018,1800,83419,-16.23,-48.97,11.68,4.06,2.12,0.06,1.14,0.98,287.03,237.08,247.69,258.26,282.77,259.34,285.04,285.19,283.15,269.12
133,1/10/2018,1800,83428,-16.37,-46.55,11.3,3.9,1.74,0.06,0.76,0.38,285,241.43,253.75,262.05,282.35,256.6,284.48,284.71,282.91,267.96
134,1/10/2018,1800,83460,-16.43,-39.08,53.49,54.19,52.95,7.58,32.09,25.14,284.12,238.47,244.26,246.44,252.88,235.66,254.43,254.37,253.48,246.81
135,1/10/2018,1800,83424,-16.63,-49.22,11.17,3.9,1.74,0,0.88,0.63,286.83,237.12,247.52,257.76,283.19,259.67,285.71,285.85,283.74,269.34
136,1/10/2018,1800,83423,-16.67,-49.25,11.17,3.74,1.74,0.12,0.88,0.63,286.75,237.08,247.44,257.76,283.13,259.72,285.65,285.85,283.68,269.34
137,1/10/2018,1800,83436,-16.7,-43.82,17.36,10.31,8.57,0.85,8.09,7.99,291.31,245.15,253.75,259.11,276.25,249.56,278.71,278.25,276.59,263.23
138,1/10/2018,1800,83437,-16.72,-43.87,18.38,13.23,10.28,0.69,9.46,6.41,290.85,245.4,254.04,259.26,276.2,249.89,278.52,278.31,276.18,263.23
139,1/10/2018,1800,83446,-16.73,-39.55,41.96,37.23,41.17,0.57,31.84,23.04,286.21,236.4,245.74,252.23,264.25,241.29,266.29,266.46,265.81,255.63
140,1/10/2018,1800,83442,-16.83,-42.05,49.17,44.6,50.85,0.19,37.2,25.26,286.56,232.68,241.81,250.98,267.8,244.31,269.8,269.93,269.21,258.77
141,1/10/2018,1800,83479,-17.22,-46.88,14.44,4.12,5.96,0.79,5.23,4.82,290.2,238.68,250.87,259.86,279.54,255.37,281.78,281.84,279.51,266.2
142,1/10/2018,1800,83483,-17.33,-44.92,22.95,18.15,16.12,2.34,16.06,16.03,297.05,244.01,254.64,259.86,271.19,248.47,273.61,272.86,271.41,260.97
143,1/10/2018,1800,83522,-17.72,-48.17,17.49,11.2,10.92,0.69,10.09,6.53,292.82,236.7,247.18,257.27,278.34,255.94,280.61,280.29,278.02,265.82
144,1/10/2018,1800,83498,-17.73,-39.25,31.8,25.26,26.03,0.73,21.52,16.25,286.14,237.97,247.35,253.17,265.03,241.52,266.97,266.94,265.81,255.74
145,1/10/2018,1800,83492,-17.85,-41.52,19.39,10.25,10.41,0.25,8.95,9.61,288.72,230.4,238.84,248.98,271.4,246.44,273.79,273.34,271.65,259.48
146,1/10/2018,1800,83488,-17.85,-42.85,46.79,41.58,45.01,0.57,37.2,26.98,290.73,240.67,249.34,255.87,267.02,243.93,268.69,268.91,268.49,258.77
147,1/10/2018,1800,83464,-17.88,-51.72,32.82,31.84,27.65,0.12,25.74,18.47,296.76,238.22,249.26,259.66,274.68,255.61,276.56,276.4,275.4,266.2
148,1/10/2018,1800,83470,-17.92,-50.92,13.42,4.69,3.36,0.12,2.63,7.26,293.77,239.4,250.4,259.56,279.74,258.4,282.09,281.84,280.05,267.96
149,1/10/2018,1800,83526,-18.18,-47.95,26.25,23.11,21.71,1.74,21.52,15.9,297.63,236.06,246.68,256.47,272.86,252.35,275.7,275.14,273.2,263.06
150,1/10/2018,1800,83538,-18.25,-43.6,43.49,38.82,41.9,3.01,36.57,27.84,291.77,245.61,254.13,258.46,267.07,244.41,268.69,268.97,268.49,259.32
